br	cls	clb	clsb	CLs_exp_b_med	CLs_exp_b_p1	CLs_exp_b_p2	CLs_exp_b_m1	CLs_exp_b_m2	CLb_exp_s_med	CLb_exp_s_p1	CLb_exp_s_p2	CLb_exp_s_m1	CLb_exp_s_m2
2.17e-08	0.518582970789	0.27353	0.141848	0.634836	0.4508625	0.303032967033	0.826414285714	0.955436172934	0.684334	0.300334	0.062036	0.931812	0.99389
2.18e-08	0.520646582319	0.273314	0.1423	0.633956	0.4513375	0.31578021978	0.825230952381	0.955497569711	0.68484	0.299414	0.06088	0.931958	0.993826
2.19e-08	0.519121081881	0.273154	0.1418	0.633348	0.4516	0.31032967033	0.824835714286	0.955477104119	0.685432	0.299932	0.061544	0.93218	0.993828
2.2e-08	0.518264086135	0.272502	0.141228	0.63258	0.450475	0.310945054945	0.82354047619	0.954695318496	0.686098	0.300494	0.0612	0.932486	0.993894
2.21e-08	0.516335295288	0.271498	0.140184	0.6313	0.4507625	0.321758241758	0.825507142857	0.954773087746	0.685814	0.30071	0.060658	0.93229	0.993794
2.22e-08	0.516321304527	0.271792	0.140332	0.631312	0.4514625	0.322725274725	0.825692857143	0.95489383474	0.686444	0.301048	0.061002	0.932044	0.993876
2.23e-08	0.513811666458	0.271582	0.139542	0.62762	0.450625	0.317010989011	0.823933333333	0.953581990279	0.688422	0.302408	0.060628	0.93245	0.994102
2.24e-08	0.509681223512	0.27135	0.138302	0.627008	0.44725	0.316835164835	0.821326190476	0.953062164236	0.68974	0.30332	0.061426	0.932924	0.994182
2.25e-08	0.506303773432	0.271742	0.137584	0.62422	0.4436	0.308131868132	0.820002380952	0.952272192377	0.690282	0.304142	0.06256	0.93387	0.994232
2.26e-08	0.506383762478	0.27147	0.137468	0.623768	0.443375	0.30821978022	0.817664285714	0.951838321821	0.691358	0.304534	0.06269	0.934352	0.994336
2.27e-08	0.505372696231	0.271186	0.13705	0.627016	0.4406875	0.30443956044	0.819047619048	0.952501407009	0.690614	0.304722	0.062808	0.933574	0.99429
2.28e-08	0.503361207966	0.270736	0.136278	0.622868	0.43765	0.301274725275	0.818423809524	0.952255819903	0.691728	0.306338	0.064304	0.933746	0.994186
2.29e-08	0.49942201639	0.271634	0.13566	0.618024	0.4320875	0.293098901099	0.817121428571	0.951519058583	0.693492	0.308358	0.06439	0.934368	0.99431
